,Brand,City,Count
0,bmw,abilene,2
1,bmw,amarillo,1
2,bmw,austin,10
3,bmw,beaumont,6
4,bmw,collegestation,1
5,bmw,corpuschristi,2
6,bmw,dallas,18
7,bmw,easttexas,2
8,bmw,houston,5
9,bmw,sanantonio,2
10,bmw,waco,1
11,canam,austin,5
12,canam,beaumont,2
13,canam,dallas,16
14,canam,easttexas,1
15,canam,houston,4
16,canam,sanantonio,1
17,ducati,abilene,4
18,ducati,amarillo,5
19,ducati,austin,12
20,ducati,beaumont,4
21,ducati,corpuschristi,2
22,ducati,dallas,9
23,ducati,houston,5
24,ducati,sanantonio,4
25,harley,abilene,2
26,harley,amarillo,10
27,harley,austin,26
28,harley,beaumont,12
29,harley,brownsville,2
30,harley,collegestation,1
31,harley,corpuschristi,17
32,harley,dallas,54
33,harley,easttexas,10
34,harley,houston,45
35,harley,mcallen,6
36,harley,sanantonio,14
37,harley,waco,3
38,harleydavidson,abilene,69
39,harleydavidson,amarillo,6
40,harleydavidson,austin,82
41,harleydavidson,beaumont,6
42,harleydavidson,corpuschristi,61
43,harleydavidson,dallas,125
44,harleydavidson,easttexas,4
45,harleydavidson,houston,10
46,harleydavidson,mcallen,7
47,harleydavidson,sanantonio,20
48,harleydavidson,waco,3
49,hd,amarillo,5
50,hd,austin,2
51,hd,beaumont,2
52,hd,dallas,10
53,hd,houston,3
54,honda,abilene,4
55,honda,amarillo,16
56,honda,austin,56
57,honda,beaumont,7
58,honda,brownsville,2
59,honda,corpuschristi,8
60,honda,dallas,74
61,honda,easttexas,5
62,honda,houston,24
63,honda,mcallen,1
64,honda,sanantonio,6
65,honda,waco,4
66,indian,abilene,1
67,indian,amarillo,2
68,indian,austin,24
69,indian,beaumont,6
70,indian,corpuschristi,14
71,indian,dallas,9
72,indian,easttexas,1
73,indian,houston,1
74,indian,sanantonio,9
75,indian,waco,1
76,kawasaki,abilene,7
77,kawasaki,amarillo,8
78,kawasaki,austin,25
79,kawasaki,beaumont,10
80,kawasaki,brownsville,1
81,kawasaki,collegestation,1
82,kawasaki,corpuschristi,6
83,kawasaki,dallas,74
84,kawasaki,easttexas,2
85,kawasaki,houston,15
86,kawasaki,sanantonio,7
87,ktm,austin,9
88,ktm,beaumont,1
89,ktm,corpuschristi,1
90,ktm,dallas,16
91,ktm,houston,2
92,ktm,sanantonio,1
93,polaris,abilene,3
94,polaris,amarillo,1
95,polaris,austin,3
96,polaris,dallas,7
97,polaris,houston,6
98,suzuki,abilene,3
99,suzuki,amarillo,3
100,suzuki,austin,15
101,suzuki,beaumont,9
102,suzuki,brownsville,1
103,suzuki,corpuschristi,6
104,suzuki,dallas,59
105,suzuki,easttexas,1
106,suzuki,houston,10
107,suzuki,mcallen,1
108,suzuki,sanantonio,1
109,suzuki,waco,3
110,triumph,abilene,2
111,triumph,austin,22
112,triumph,beaumont,3
113,triumph,corpuschristi,3
114,triumph,dallas,22
115,triumph,houston,5
116,triumph,sanantonio,1
117,triumph,waco,1
118,victory,amarillo,2
119,victory,austin,3
120,victory,beaumont,1
121,victory,corpuschristi,2
122,victory,dallas,4
123,victory,sanantonio,1
124,victory,waco,1
125,yamaha,abilene,4
126,yamaha,amarillo,7
127,yamaha,austin,28
128,yamaha,beaumont,4
129,yamaha,collegestation,1
130,yamaha,corpuschristi,8
131,yamaha,dallas,81
132,yamaha,easttexas,6
133,yamaha,houston,16
134,yamaha,mcallen,2
135,yamaha,sanantonio,2
136,yamaha,waco,1
