,Product,Price,year,City,Brand
0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,79980,1941,dallas,harleydavidson
1,1961 R60/2 with SIDECAR,18500,1961,houston,r602
2,1969 CB450,2500,1969,dallas,cb450
3,1969 Harley Davidson FLH Shovelhead,6900,1969,sanantonio,harley
4,1970 500TT Chopper Project,3950,1970,dallas,500tt
5,1970 Rupp Roadster Restored Showpiece,4000,1970,houston,rupp
6,1971 CL350,2800,1971,beaumont,cl350
7,1972 BSA Gold Star Bikes,15000,1972,beaumont,bsa
8,1972 Vintage Honda CB450,4800,1972,austin,vintage
9,1973 Moto Guzzi 850 ElDorado,9995,1973,dallas,moto
10,1973 R60/5 BMW Airhead with original touring cases NICE!,5200,1973,austin,r605
11,1974 Honda CB450 race bike,9250,1974,dallas,honda
12,1974 Yamaha RD 350,4500,1974,houston,yamaha
13,1974 Yamaha XS650 chopper,2500,1974,austin,yamaha
14,1974 honda cl 450,4200,1974,austin,honda
15,1975 HONDA CB750F,3000,1975,corpuschristi,honda
16,1975 moto guzzi 850-T,4500,1975,corpuschristi,moto
17,1976 R60/6 BMW,5500,1976,dallas,r606
18,1977 Honda CB750,2500,1977,austin,honda
19,1977 Honda CT 70,1400,1977,sanantonio,honda
20,1977 Honda XR75,1800,1977,austin,honda
21,1978 BMW R80/7 Motorcycle with a Cozy sidecar.,7500,1978,dallas,bmw
22,1978 Honda Goldwing GL1000,1500,1978,abilene,honda
23,1978 Suzuki GS750 OBO,800,1978,mcallen,suzuki
24,1978 Triumph Bonneville Cafe Racer,6950,1978,austin,triumph
25,1978 Yamaha GT80 mini bike motocross,1250,1978,corpuschristi,yamaha
26,1979 Harley-Davidson Sportster,1500,1979,austin,harleydavidson
27,1979 VW Trike,4500,1979,dallas,vw
28,1979 Vespa P200E,2850,1979,houston,vespa
29,1979 Yamaha GT80,1600,1979,beaumont,yamaha
30,1980 CT 110,3000,1980,dallas,ct
31,1980 Harley Davidson FLH,8100,1980,amarillo,harley
32,1980 Harley Davidson Fxwg,5000,1980,austin,harley
33,1980 Honda CB750K,6000,1980,corpuschristi,honda
34,1980 Honda Express moped NC 50,535,1980,beaumont,honda
35,1980 Suzuki GS850G - Great Starter Bike - Runs and Rides,1995,1980,austin,suzuki
36,"1980 YAHAMA 650c XS 17,000 MILES $2000 CASH !",2000,1980,corpuschristi,yahama
37,1980 YAMAHA 650cc XS TWEEN LOOKS AND RUNS GREAT,2000,1980,austin,yamaha
38,1980 YAMAHA XS,2700,1980,amarillo,yamaha
39,1981 Harley Shovelhead,5000,1981,waco,harley
40,1981 Honda CB900c,1500,1981,beaumont,honda
41,1982 Honda CB 900,3900,1982,austin,honda
42,1982 Kawasaki 1000 muscle bike,3500,1982,houston,kawasaki
43,1982 Yamaha Virago xv750J,1100,1982,sanantonio,yamaha
44,1983 Honda Gold Wing GL1100 Touring Bike,4450,1983,austin,honda
45,1983 Honda Goldwing GL1100-Whole/Parts,1200,1983,houston,honda
46,1983 Honda MiniTrail Z50R - SOLD,500,1983,dallas,honda
47,1985 HONDA CR500 HOLYGRAIL!,3200,1985,austin,honda
48,1985 Yamaha xj650,1500,1985,austin,yamaha
49,1986 BMW K75C,2700,1986,amarillo,bmw
50,1986 HONDA FATCAT,6500,1986,austin,honda
51,1986 HONDA FATCAT TR200,6500,1986,dallas,honda
52,1986 Harley Davidson DYNA GLIDE FXRD MOTORCYCLE,7500,1986,amarillo,harley
53,1986 Honda Fatcat TR200,6500,1986,dallas,honda
54,1986 Honda Shadow 1100,3000,1986,austin,honda
55,1987 CR250 87 CR250R,7850,1987,houston,cr250
56,1987 Harley Davidson Softail,6500,1987,dallas,harley
57,1987 Honda Gold Wing Aspencade - Immaculate Survivor!,5995,1987,dallas,honda
58,1987 Yamaha XV535 Virago,925,1987,abilene,yamaha
59,1988 Honda Shadow VT 800,2000,1988,amarillo,honda
60,1989 Harley Davidson Heritage,8500,1989,dallas,harley
61,1989 Honda CB-1,3995,1989,sanantonio,honda
62,1990 Suzuki VX800,2000,1990,amarillo,suzuki
63,1992 BMW R100GSPD,8500,1992,easttexas,bmw
64,1992 GSX 1100G - Retromod,6995,1992,dallas,gsx
65,1992 YAMAHA FJ 1200 Sport Tourer,2500,1992,corpuschristi,yamaha
66,1993 GL 1500 SE GOLDWING CHAMPION MOTOR TRIKE GL 1800 PERFECT ONLY 68K,13900,1993,houston,gl
67,1993 Honda Shadow 750,3200,1993,houston,honda
68,1994 Honda Shadow 1100,3500,1994,dallas,honda
