,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,gas,10279,custom,clean,other,,,,79980,1941,dallas,harleydavidson
1,1965 Triumph w/trailer,gas,1234,,clean,other,fair,,,2500,1965,austin,harley
2,1972 Honda CB350,gas,4283,red,clean,manual,good,350,standard,3000,1972,sanantonio,honda
3,1972 KAWASAKI S2 350 TRIPLE VERY RARE!!,,,,,,,,,3400,1972,austin,yamaha
4,1972 Vintage Honda CB450,gas,10000,black,clean,manual,,,,4800,1972,austin,yamaha
5,1973 Honda CB175,gas,9204,orange,clean,manual,excellent,174,standard,5500,1973,dallas,honda
6,1973 R60/5 BMW Airhead with original touring cases NICE!,gas,42000,green,clean,manual,excellent,,,5200,1973,austin,honda
7,1974 honda cl 450,gas,9865,,,manual,,450,cafe racer,4200,1974,austin,honda
8,1975 HONDA CB750F,gas,18633,custom,clean,manual,excellent,750,standard,3000,1975,corpuschristi,honda
9,1975 Harley-Davidson,,,,,,,,,9500,1975,dallas,honda
10,1975 moto guzzi 850-T,gas,27921,red,clean,manual,excellent,850,sport bike,4500,1975,sanantonio,bmw
11,1977 Honda CB750,gas,100000,,,manual,fair,750,,2500,1977,austin,honda
12,1977 Honda CT 70,gas,odometer broken,,,manual,,,,1400,1977,sanantonio,suzuki
13,1978 Suzuki GS750 OBO,gas,20000,,,manual,,,,800,1978,corpuschristi,triumph
14,1978 Triumph Bonneville Cafe Racer,gas,odometer broken,black,clean,manual,,750,cafe racer,6950,1978,austin,yamaha
15,1979 CX500 Cafe Racer Project,gas,1000,custom,parts only,manual,fair,496,cafe racer,1850,1979,brownsville,harleydavidson
16,1979 Vespa P200E,,,,,,,,,2850,1979,houston,yamaha
17,1980 Harley Davidson FLH,gas,9400,black,clean,manual,good,1310,cruiser,8100,1980,amarillo,harley
18,1980 Harley Davidson Fxwg,gas,10000,,clean,manual,,1350,,5000,1980,austin,harley
19,1980 KZ1000,,,,,,,,,3000,1980,sanantonio,honda
20,"1980 YAHAMA 650cc SX RUNS GREAT ! 17,000 MILES 1ST $2800 CASH !",gas,17000,custom,clean,manual,good,650,,2800,1980,corpuschristi,honda
21,1980 YAMAHA 650cc SX TWEEN LOOKS AND RUNS GREAT,gas,17000,blue,clean,manual,good,650,,2800,1980,austin,suzuki
22,1980 Yamaha Cafe Racer,gas,15477,,,manual,good,,cafe racer,2000,1980,mcallen,yamaha
23,1981 BMW R100,,,,,,,,,5600,1981,corpuschristi,yamaha
24,1981 Harley Shovelhead,gas,72000,,clean,manual,good,,scooter,5000,1981,waco,harley
25,1982 Honda CB 900,gas,11000,red,clean,manual,good,,dual-sport,3900,1982,austin,honda
26,1982 Honda CT90-110 Trail Bike,,,,,,,,,3000,1982,dallas,honda
27,1982 Kawasaki 1000 muscle bike,gas,7832,black,clean,manual,excellent,1000,street,3500,1982,houston,kawasaki
28,1982 Yamaha Virago xv750J,gas,20000,black,clean,manual,good,750,cruiser,1100,1982,corpuschristi,yamaha
29,1982 Yamaha XJ1100,,,,,,,,,850,1982,houston,honda
30,1982 fxb Sturgis,gas,9200,silver,clean,manual,good,,,7500,1982,waco,honda
31,1983 Honda Gold Wing GL1100 Touring Bike,gas,31700,red,clean,manual,excellent,1100,cruiser,4450,1983,austin,honda
32,1983 Honda Goldwing GL1100-Whole/Parts,,,,,,,,,1200,1983,houston,honda
33,1983 Honda MiniTrail Z50R - SOLD,,,,,,,,,500,1983,dallas,yamaha
34,1983 RM250 works replica race ready ahrma suzuki,gas,1234,yellow,missing,manual,excellent,250,dirtbike,5650,1983,sanantonio,bmw
35,1985 Yamaha xj650,gas,28808,red,clean,manual,fair,,street,1500,1985,austin,honda
36,1986 BMW K75C,gas,25325,blue,clean,automatic,good,750,dual-sport,2700,1986,amarillo,honda
37,1986 HONDA FATCAT,gas,12345,,,manual,,,,6500,1986,austin,harley
38,1986 HONDA FATCAT TR200,gas,1223,,,automatic,,,,6500,1986,dallas,honda
39,1986 Harley Davidson DYNA GLIDE FXRD MOTORCYCLE,gas,500,red,clean,manual,excellent,1340,sport touring,7500,1986,amarillo,honda
40,1986 Honda Shadow 1100,gas,19345,black,clean,manual,good,1100,cruiser,2500,1986,austin,harley
41,1986 Kawasaki ZX900 Ninja,gas,1406,,,manual,excellent,,sport bike,4200,1986,houston,honda
42,1987 Harley Davidson Softail,gas,13485,,,automatic,excellent,,,7000,1987,dallas,yamaha
43,1987 Honda Gold Wing Aspencade - Immaculate Survivor!,,,,,,,,,5995,1987,dallas,honda
44,1988 Goldwing GL1500,,,,,,,,,5000,1988,dallas,harley
45,1988 Honda Shadow VT 800,gas,16933,red,clean,manual,good,800,cruiser,2000,1988,amarillo,honda
46,1990 BMW  K-100 - Was Running When Parked,,,,,,,,,1500,1990,dallas,suzuki
47,1990 Suzuki VX800,gas,1111,black,clean,manual,,,,2000,1990,amarillo,bmw
48,1992 Custom R100,,,,,,,,,10500,1992,austin,yamaha
49,1992 YAMAHA FJ 1200 Sport Tourer,gas,33176,blue,clean,manual,excellent,1200,sport touring,2500,1992,corpuschristi,honda
50,1993 GL 1500 SE GOLDWING CHAMPION MOTOR TRIKE GL 1800 PERFECT ONLY 68K,gas,68060,white,clean,manual,like new,1500,touring,13900,1993,houston,honda
51,1993 Harley-Davidson® FLSTN - Heritage Softail Nostalgia,,,,,,,,,11950,1993,dallas,harley
52,1993 Honda Shadow 750,gas,36433,black,clean,manual,excellent,750,cruiser,3200,1993,houston,honda
53,1994 honda goldwing interstate,gas,72000,red,clean,manual,,,,3500,1994,amarillo,harleydavidson
