,Product,Price,year,City,Brand
0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,79980,1941,dallas,harleydavidson
1,1961 R60/2 with SIDECAR,18500,1961,beaumont,r602
2,1961 Triumph,5750,1961,waco,triumph
3,1965 Triumph w/trailer,2500,1965,austin,triumph
4,1968 Honda CT90 Only 840 Original Miles,1850,1968,dallas,honda
5,1969 CB450,2500,1969,dallas,cb450
6,1969 Harley Davidson FLH Shovelhead,6900,1969,corpuschristi,harley
7,1970 500TT Chopper Project,3950,1970,dallas,500tt
8,1970 Rupp Roadster Restored Showpiece,4500,1970,houston,rupp
9,1970 Yamaha AT1 125 Enduro,3250,1970,corpuschristi,yamaha
10,1971 honda trail 70,2900,1971,beaumont,honda
11,1972 Honda CB350,3000,1972,sanantonio,honda
12,1972 KAWASAKI S2 350 TRIPLE VERY RARE!!,3400,1972,austin,kawasaki
13,1972 Vintage Honda CB450,4800,1972,austin,vintage
14,1973 Honda CB175,5500,1973,dallas,honda
15,1973 R60/5 BMW Airhead with original touring cases NICE!,5200,1973,austin,r605
16,1974 Honda CB450 race bike,9250,1974,dallas,honda
17,1974 Yamaha RD 350,4500,1974,houston,yamaha
18,1974 honda cl 450,4200,1974,austin,honda
19,1975 HONDA CB750F,3000,1975,corpuschristi,honda
20,1975 Harley-Davidson,9500,1975,dallas,harleydavidson
21,1975 moto guzzi 850-T,4500,1975,sanantonio,moto
22,1977 Honda CB750,2500,1977,austin,honda
23,1977 Honda CT 70,1400,1977,sanantonio,honda
24,1978 Suzuki GS750 OBO,800,1978,corpuschristi,suzuki
25,1978 Triumph Bonneville Cafe Racer,6950,1978,austin,triumph
26,1979 CX500 Cafe Racer Project,1850,1979,brownsville,cx500
27,1979 Harley-Davidson Sportster,1500,1979,austin,harleydavidson
28,1979 VW Trike!,4500,1979,dallas,vw
29,1979 Vespa P200E,2850,1979,houston,vespa
30,1980 CT 110,3000,1980,dallas,ct
31,1980 Harley Davidson FLH,8100,1980,amarillo,harley
32,1980 Harley Davidson Fxwg,5000,1980,austin,harley
33,1980 KZ1000,3000,1980,sanantonio,kz1000
34,"1980 YAHAMA 650cc SX RUNS GREAT ! 17,000 MILES 1ST $2800 CASH !",2800,1980,corpuschristi,yahama
35,1980 YAMAHA 650cc SX TWEEN LOOKS AND RUNS GREAT,2800,1980,austin,yamaha
36,1980 YAMAHA XS,2700,1980,amarillo,yamaha
37,1980 Yamaha Cafe Racer,2000,1980,mcallen,yamaha
38,1981 BMW R100,5600,1981,corpuschristi,bmw
39,1981 Harley Shovelhead,5000,1981,waco,harley
40,1982 Honda CB 900,3900,1982,austin,honda
41,1982 Honda CT90-110 Trail Bike,3000,1982,dallas,honda
42,1982 Kawasaki 1000 muscle bike,3500,1982,houston,kawasaki
43,1982 Yamaha Virago xv750J,1100,1982,corpuschristi,yamaha
44,1982 Yamaha XJ1100,850,1982,houston,yamaha
45,1982 fxb Sturgis,7500,1982,waco,fxb
46,1983 Honda Gold Wing GL1100 Touring Bike,4450,1983,austin,honda
47,1983 Honda Goldwing GL1100-Whole/Parts,1200,1983,houston,honda
48,1983 Honda MiniTrail Z50R - SOLD,500,1983,dallas,honda
49,1983 RM250 works replica race ready ahrma suzuki,5650,1983,sanantonio,rm250
50,1985 Yamaha xj650,1500,1985,austin,yamaha
51,1986 BMW K75C,2700,1986,amarillo,bmw
52,1986 HONDA FATCAT,6500,1986,austin,honda
53,1986 HONDA FATCAT TR200,6500,1986,dallas,honda
54,1986 Harley Davidson DYNA GLIDE FXRD MOTORCYCLE,7500,1986,amarillo,harley
55,1986 Honda Fatcat TR200,6500,1986,dallas,honda
56,1986 Honda Shadow 1100,2500,1986,austin,honda
57,1986 Kawasaki ZX900 Ninja,4200,1986,houston,kawasaki
58,1987 Harley Davidson Softail,7000,1987,dallas,harley
59,1987 Honda Gold Wing Aspencade - Immaculate Survivor!,5995,1987,dallas,honda
60,1988 Goldwing GL1500,5000,1988,dallas,goldwing
61,1988 Honda Shadow VT 800,2000,1988,amarillo,honda
62,1990 BMW  K-100 - Was Running When Parked,1500,1990,dallas,bmw
63,1990 Suzuki VX800,2000,1990,amarillo,suzuki
64,1992 BMW R100GSPD,8500,1992,easttexas,bmw
65,1992 Custom R100,10500,1992,austin,custom
66,1992 GSX 1100G - Retromod,6995,1992,dallas,gsx
67,1992 YAMAHA FJ 1200 Sport Tourer,2500,1992,corpuschristi,yamaha
68,1993 GL 1500 SE GOLDWING CHAMPION MOTOR TRIKE GL 1800 PERFECT ONLY 68K,13900,1993,houston,gl
69,1993 Harley-Davidson® FLSTN - Heritage Softail Nostalgia,11950,1993,dallas,harleydavidson
70,1993 Honda Shadow 750,3200,1993,houston,honda
71,1994 Honda Shadow 1100,3500,1994,dallas,honda
72,1994 honda goldwing interstate,3500,1994,amarillo,honda
73,1995 Harley-Davidson Electra Glide Ultra Classic SKU,29980,1995,dallas,harleydavidson
74,1995 Kawasaki Voyager,5000,1995,dallas,kawasaki
75,1995 Superglide / storage unit find,7500,1995,austin,superglide
76,1995 honda magna 750,2000,1995,dallas,honda
77,1996 Ducati 900 Supersport  -Premium Dealer!,6995,1996,beaumont,ducati
78,1996 Harley Davidson Softail FXSTB-Has the LOPE everyone wants,8500,1996,dallas,harley
79,1996 Honda Goldwing Aspencade Quick Sale,3500,1996,austin,honda
80,1996 Honda VF 750 C DT MAGNA  -Premium Dealer!,3995,1996,houston,honda
81,1996 Suzuki GSXR 1100  -Finance it with Instant Credit Approval!,6495,1996,houston,suzuki
82,1996 YZ250,3500,1996,dallas,yz250
83,1996 Yamaha Royal Star-13K miles,3000,1996,waco,yamaha
84,1996 sportster 1200 in great shape,7500,1996,austin,sportster
85,1997 BMW 1200 RT,12995,1997,austin,bmw
86,1997 Harley FLHRI Road King,8000,1997,austin,harley
87,1997 Harley Fat Boy Low Miles,11500,1997,corpuschristi,harley
