,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,gas,10279,custom,clean,other,,,,79980,1941,dallas,harleydavidson
1,1961 R60/2 with SIDECAR,,,,,,,,,18500,1961,beaumont,r602
2,1961 Triumph,,,,,,,,,5750,1961,waco,triumph
3,1965 Triumph w/trailer,gas,1234,,clean,other,fair,,,2500,1965,austin,triumph
4,1968 Honda CT90 Only 840 Original Miles,,,,,,,,,1850,1968,dallas,honda
5,1969 CB450,gas,1234,,missing,manual,excellent,450,,2500,1969,dallas,cb450
6,1969 Harley Davidson FLH Shovelhead,,,,,,,,,6900,1969,corpuschristi,harley
7,1970 500TT Chopper Project,gas,2000,,,manual,,,,3950,1970,dallas,500tt
8,1970 Rupp Roadster Restored Showpiece,gas,222,red,,automatic,like new,172,,4500,1970,houston,rupp
9,1970 Yamaha AT1 125 Enduro,gas,2500,,,manual,,,,3250,1970,corpuschristi,yamaha
10,1971 honda trail 70,,,,,,,,,2900,1971,beaumont,honda
11,1972 Honda CB350,gas,4283,red,clean,manual,good,350,standard,3000,1972,sanantonio,honda
12,1972 KAWASAKI S2 350 TRIPLE VERY RARE!!,,,,,,,,,3400,1972,austin,kawasaki
13,1972 Vintage Honda CB450,gas,10000,black,clean,manual,,,,4800,1972,austin,vintage
14,1973 Honda CB175,gas,9204,orange,clean,manual,excellent,174,standard,5500,1973,dallas,honda
15,1973 R60/5 BMW Airhead with original touring cases NICE!,gas,42000,green,clean,manual,excellent,,,5200,1973,austin,r605
16,1974 Honda CB450 race bike,gas,20,silver,,manual,excellent,498,other,9250,1974,dallas,honda
17,1974 Yamaha RD 350,gas,8135,red,clean,manual,excellent,350,street,4500,1974,houston,yamaha
18,1974 honda cl 450,gas,9865,,,manual,,450,cafe racer,4200,1974,austin,honda
19,1975 HONDA CB750F,gas,18633,custom,clean,manual,excellent,750,standard,3000,1975,corpuschristi,honda
20,1975 Harley-Davidson,,,,,,,,,9500,1975,dallas,harleydavidson
21,1975 moto guzzi 850-T,gas,27921,red,clean,manual,excellent,850,sport bike,4500,1975,sanantonio,moto
22,1977 Honda CB750,gas,100000,,,manual,fair,750,,2500,1977,austin,honda
23,1977 Honda CT 70,gas,odometer broken,,,manual,,,,1400,1977,sanantonio,honda
24,1978 Suzuki GS750 OBO,gas,20000,,,manual,,,,800,1978,corpuschristi,suzuki
25,1978 Triumph Bonneville Cafe Racer,gas,odometer broken,black,clean,manual,,750,cafe racer,6950,1978,austin,triumph
26,1979 CX500 Cafe Racer Project,gas,1000,custom,parts only,manual,fair,496,cafe racer,1850,1979,brownsville,cx500
27,1979 Harley-Davidson Sportster,gas,15500,,missing,manual,,1000,,1500,1979,austin,harleydavidson
28,1979 VW Trike!,gas,11162,black,clean,manual,good,1600,trike,4500,1979,dallas,vw
29,1979 Vespa P200E,,,,,,,,,2850,1979,houston,vespa
30,1980 CT 110,gas,4500,red,salvage,manual,excellent,110,moped,3000,1980,dallas,ct
31,1980 Harley Davidson FLH,gas,9400,black,clean,manual,good,1310,cruiser,8100,1980,amarillo,harley
32,1980 Harley Davidson Fxwg,gas,10000,,clean,manual,,1350,,5000,1980,austin,harley
