,Product,Price,year,City,Brand
0,2001 Yamaha Road Star Bagger,4195,2001,abilene,Yamaha
1,2022 Kawasaki Z125 PRO,3399,2022,abilene,Kawasaki
2,2022 Kawasaki Z400 ABS,5199,2022,abilene,Kawasaki
3,2006 Honda VTX 1300 R Honda VTX 1300 R,5999,2006,abilene,Honda
4,2012 Harley Davidson Softail Deluxe,11500,2012,abilene,Harley
5,2014 Kawasaki KLR 650,4750,2014,abilene,Kawasaki
6,2014 up Harley street glide body kit,2000,2014,abilene,up
7,2006 HONDA DFT GOLDWING TRIKE Honda DFT GOLDWING TRIKE,19999,2006,abilene,HONDA
8,2014 Harley Davidson Breakout,14500,2014,abilene,Harley
9,2021 Kawasaki Ninja 650,7999,2021,abilene,Kawasaki
10,2018 *Harley-Davidson* *FLTRXS* *Road* *Glide* *Special*,27752,2018,abilene,*Harley-Davidson*
11,2016 *Harley-Davidson* *FLD* *Dyna* *Switch* *Back*,13872,2016,abilene,*Harley-Davidson*
12,2016 *Harley-Davidson* *Street* *Glide*,17573,2016,abilene,*Harley-Davidson*
13,2019 *Harley-Davidson* *Street* *Glide* *FLHX*,21500,2019,abilene,*Harley-Davidson*
14,2017 *Harley-Davidson* *XL1200CX* *Sportster* *CX* ROADSTER,9500,2017,abilene,*Harley-Davidson*
15,2017 *Harley-Davidson* *Sportster* *1200* *Custom* *XL1200C*,9591,2017,abilene,*Harley-Davidson*
16,2016 *Harley-Davidson* *Heritage* *Softail* *Classic*,12984,2016,abilene,*Harley-Davidson*
17,2017 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special*,19984,2017,abilene,*Harley-Davidson*
18,2020 *Harley-Davidson* *FLTRXS* *Road* *Glide* *Special* *114*,29500,2020,abilene,*Harley-Davidson*
19,2017 *Harley-Davidson* *Softail* *Slim*,13974,2017,abilene,*Harley-Davidson*
20,2011 *Harley-Davidson* *Forty-Eight* *XL1200X*,6900,2011,abilene,*Harley-Davidson*
21,2018 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special*,24754,2018,abilene,*Harley-Davidson*
22,2019 *Harley-Davidson* *FXBB* *Street* *Bob*,11994,2019,abilene,*Harley-Davidson*
23,2019 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special* *114*,26984,2019,abilene,*Harley-Davidson*
24,2011 *Harley-Davidson* *FLSTC* *Heritage* *Softail*,10874,2011,abilene,*Harley-Davidson*
25,2015 *Harley-Davidson* *XL1200X* *Sportster* *Forty-Eight* *ABS* Model,9500,2015,abilene,*Harley-Davidson*
26,2020 *Ducati* *Scrambler* *Icon* *Dark*,9500,2020,abilene,*Ducati*
27,2016 *Harley-Davidson* *FLHX* *Street* *Glide*,21500,2016,abilene,*Harley-Davidson*
28,2020 *Harley-Davidson* *Street* *Glide* *Special* *114*,28952,2020,abilene,*Harley-Davidson*
29,2017 *Harley-Davidson* *Low* *Rider* *S*,17752,2017,abilene,*Harley-Davidson*
30,2020 *Ducati* *Scrambler* *Icon* *Dark*,9500,2020,abilene,*Ducati*
31,2018 *Harley-Davidson* *Iron* *883* *XL883N*,8900,2018,abilene,*Harley-Davidson*
32,2021 *Harley-Davidson* *FXBBS* *Street* *Bob* *114*,16571,2021,abilene,*Harley-Davidson*
33,2014 *Harley-Davidson* *FLHX* *Street* *Glide*,16984,2014,abilene,*Harley-Davidson*
34,2016 *Harley-Davidson* *FXDB* *Dyna* *Street*,14754,2016,abilene,*Harley-Davidson*
35,2019 *Yamaha* *Tracer* *900*,10554,2019,abilene,*Yamaha*
36,2020 *Can-Am* *Ryker* *Rally* *Edition* *900*,11992,2020,abilene,*Can-Am*
37,2013 *Kawasaki* *Ninja* ** *650R*,6950,2013,abilene,*Kawasaki*
38,2020 *Harley-Davidson* *Softail* *Standard*,13992,2020,abilene,*Harley-Davidson*
39,2016 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special*,19982,2016,abilene,*Harley-Davidson*
40,2019 *Harley-Davidson* *FLHR* *Road* *King*,16984,2019,abilene,*Harley-Davidson*
41,2019 *Triumph* *Speed* *Triple* *S*,10984,2019,abilene,*Triumph*
42,2019 *Honda* *CB1000RA* *(ABS)*,9984,2019,abilene,*Honda*
