,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
0,0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,gas,10279,custom,clean,other,,,,79980,1941,Dallas,Harley Davidson
1,1,1961 Triumph,,,,,,,,,5750,1961,Waco,Triumph
2,2,1965 Triumph w/trailer,gas,1234,,clean,other,fair,,,2500,1965,Austin,Triumph
3,3,1968 Honda CT90 Only 840 Original Miles,,,,,,,,,1850,1968,Dallas,Honda
4,4,1969 Harley Davidson FLH Shovelhead,,,,,,,,,6900,1969,Corpus Christi,Harley Davidson
5,5,1970 Yamaha AT1 125 Enduro,gas,2500,,,manual,,,,3250,1970,Corpus Christi,Yamaha
6,6,1971 honda trail 70,,,,,,,,,2900,1971,Beaumont,Honda
7,7,1972 Honda CB350,gas,4283,red,clean,manual,good,350,standard,3000,1972,San Antonio,Honda
8,8,1972 KAWASAKI S2 350 TRIPLE VERY RARE!!,,,,,,,,,3400,1972,Austin,Kawasaki
9,9,1973 Honda CB175,gas,9204,orange,clean,manual,excellent,174,standard,5500,1973,Dallas,Honda
10,10,1974 Honda CB450 race bike,gas,20,silver,,manual,excellent,498,other,9250,1974,Dallas,Honda
11,11,1974 Yamaha RD 350,gas,8135,red,clean,manual,excellent,350,street,4500,1974,Houston,Yamaha
12,12,1974 honda cl 450,gas,9865,,,manual,,450,cafe racer,4200,1974,Austin,Honda
13,13,1975 HONDA CB750F,gas,18633,custom,clean,manual,excellent,750,standard,3000,1975,Corpus Christi,Honda
14,14,1975 Harley-Davidson,,,,,,,,,9500,1975,Dallas,Harley Davidson
15,15,1977 Honda CB750,gas,100000,,,manual,fair,750,,2500,1977,Austin,Honda
16,16,1977 Honda CT 70,gas,odometer broken,,,manual,,,,1400,1977,San Antonio,Honda
17,17,1978 Suzuki GS750 OBO,gas,20000,,,manual,,,,800,1978,Corpus Christi,Suzuki
18,18,1978 Triumph Bonneville Cafe Racer,gas,odometer broken,black,clean,manual,,750,cafe racer,6950,1978,Austin,Triumph
19,19,1979 Harley-Davidson Sportster,gas,15500,,missing,manual,,1000,,1500,1979,Austin,Harley Davidson
20,20,1980 Harley Davidson FLH,gas,9400,black,clean,manual,good,1310,cruiser,8100,1980,Amarillo,Harley Davidson
21,21,1980 Harley Davidson Fxwg,gas,10000,,clean,manual,,1350,,5000,1980,Austin,Harley Davidson
22,22,1980 YAMAHA 650cc SX TWEEN LOOKS AND RUNS GREAT,gas,17000,blue,clean,manual,good,650,,2800,1980,Austin,Yamaha
23,23,1980 YAMAHA XS,gas,31571,custom,clean,manual,good,1100,cruiser,2700,1980,Amarillo,Yamaha
